PARK,ATTENDANCE,year,Region
John Pennekamp Coral Reef,1067540,2002,SouthEast
Honeymoon Island,857921,2002,CentralWest
Cape Florida,811236,2002,SouthEast
Lover's Key,806379,2002,SouthWest
Sebastian Inlet,702984,2002,CentralEast
Lloyd Beach,670170,2002,SouthEast
St. Andrews,604247,2002,NorthWest
Delnor-Wiggins Pass,495200,2002,SouthWest
Bahia Honda,472697,2002,SouthEast
Gasparilla Island,464725,2002,SouthWest
Anastasia,409315,2002,CentralWest
Blue Spring,376674,2002,CentralEast
Fort Zachary Taylor,319821,2002,SouthEast
Oleta River,302311,2002,SouthEast
De Leon Springs,264592,2002,CentralEast
Skyway State Fishing Pier,257091,2002,CentralWest
Homosassa Springs,256195,2002,CentralWest
Stump Pass Beach,241325,2002,SouthWest
Myakka River,240028,2002,CentralWest
Fanning Springs,230642,2002,NorthCentral
Big Talbot Island,229406,2002,NorthEast
Paynes Prairie,229174,2002,NorthCentral
St. George Island,220514,2002,NorthWest
Hugh Taylor Birch,216254,2002,SouthEast
Henderson Beach,200762,2002,NorthWest
Rainbow Springs,195059,2002,Central
Avalon,193686,2002,CentralEast
Highlands Hammock,189624,2002,Central
Wekiwa Springs,184317,2002,Central
Fort Pierce Inlet,183215,2002,CentralEast
Fort Clinch,182282,2002,NorthEast
Anclote Key,177994,2002,CentralWest
Wakulla Springs State Park,175162,2002,NorthCentral
Ichetucknee Springs,173755,2002,NorthCentral
St. Joseph,173747,2002,NorthWest
Egmont Key,172475,2002,CentralWest
Jonathan Dickinson,169791,2002,SouthEast
Guana River,166583,2002,NorthEast
Tallahassee/St. Marks Trail,154662,2002,NorthCentral
Hillsborough River,154368,2002,CentralWest
Big Lagoon,153061,2002,NorthWest
Caladesi Island,145018,2002,CentralWest
Amelia Island,141645,2002,NorthEast
Curry Hammock,140456,2002,SouthEast
Ravine Gardens,129787,2002,NorthEast
Manatee Springs,129149,2002,NorthCentral
Rocky Bayou,122944,2002,NorthWest
Alfred B. Maclay Gardens,122857,2002,NorthCentral
Topsail Hill State Preserve,120460,2002,NorthWest
Withlacoochee State Trail,111557,2002,CentralWest
Shell Island,110593,2002,NorthEast
Flagler Beach,107475,2002,NorthEast
Oscar Scherer,106599,2002,CentralWest
Little Talbot Island,104686,2002,NorthEast
John D MacArthur Beach,104074,2002,SouthEast
Silver Springs State Park,99973,2002,Central
Florida Caverns,93267,2002,NorthWest
Bald Point,91254,2002,NorthWest
Grayton Beach,90746,2002,NorthWest
Tomoka,88497,2002,CentralEast
Navarre Beach State Park,86483,2002,NorthWest
Nature Coast State Trail,81026,2002,NorthCentral
Long Key,80214,2002,SouthEast
Washington Oaks,65035,2002,NorthEast
Stephen Foster,62813,2002,NorthCentral
Collier-Seminole,59511,2002,SouthWest
Ybor City,58870,2002,CentralWest
Fakahatchee Strand,56240,2002,SouthWest
Lake Jackson Mounds,56046,2002,NorthCentral
Cayo Costa,54739,2002,SouthWest
Bulow Creek,53717,2002,CentralEast
Jack Island,51572,2002,CentralEast
Koreshan,50945,2002,SouthWest
Lake Manatee,50333,2002,CentralWest
San Felasco Hammock,49850,2002,NorthCentral
Lake Kissimmee,47342,2002,Central
O'Leno,47250,2002,NorthCentral
North Peninsula,46121,2002,CentralEast
Blackwater River,40780,2002,NorthWest
Gold Head Branch,40343,2002,NorthEast
Lake Louisa,38935,2002,Central
Ponce de Leon,36358,2002,NorthWest
Devil's Millhopper,36154,2002,NorthCentral
Ochlockonee River,36128,2002,NorthCentral
Fort George Island,33330,2002,NorthEast
Falling Waters,32715,2002,NorthWest
Faver-Dykes,32146,2002,NorthEast
Perdido Key,31978,2002,NorthWest
Don Pedro Island,31825,2002,SouthWest
Yulee Sugar Mills,31394,2002,CentralWest
Gamble Plantation,31201,2002,CentralWest
Van Fleet State Trail,29183,2002,Central
Suwannee River,28713,2002,NorthCentral
Olustee Battlefield,28221,2002,NorthCentral
Wacasassa Bay,26642,2002,NorthCentral
The Barnacle,26063,2002,SouthEast
Eden State Gardens,25979,2002,NorthWest
Lake Griffin,25799,2002,Central
Blackwater Heritage Trail,25351,2002,NorthWest
Forest Capital,25026,2002,NorthCentral
Paynes Creek,24638,2002,Central
Alafia River,24492,2002,CentralWest
Nature & Heritage Tourism Center,24303,2002,NorthCentral
Hontoon Island,24009,2002,Central
Dade Battlefield,23974,2002,Central
Key Largo Hammock,23755,2002,SouthEast
Marjorie Kinnan Rawlings,22699,2002,NorthCentral
Bulow Plantation Ruins,21947,2002,CentralEast
Little Manatee River,21708,2002,CentralWest
San Marcos de Apalache,20322,2002,NorthCentral
Lake Talquin/River Bluff,19852,2002,NorthCentral
Three Rivers,19813,2002,NorthWest
Torreya,19386,2002,NorthWest
Cedar Key State Museum,19258,2002,NorthCentral
Crystal River Arch. Site,19053,2002,CentralWest
Savannas,17749,2002,CentralEast
St. Lucie Inlet,14435,2002,CentralEast
Kissimmee Prairie,13837,2002,CentralEast
Big Shoals,13506,2002,NorthCentral
Cedar Key Scrub,13312,2002,NorthCentral
Econfina River,13222,2002,NorthCentral
Natural Bridge Battlefield,11897,2002,NorthCentral
Fort Cooper,11870,2002,CentralWest
Tosohatchee,11299,2002,Central
Windley Key,10889,2002,SouthEast
Seabranch,10492,2002,CentralEast
Rock Springs Run,9115,2002,NorthCentral
Dudley Farm,8983,2002,NorthCentral
Camp Helen,8146,2002,NorthWest
Lower Wekiva River,6702,2002,Central
Deer Lake,6514,2002,NorthWest
Indian Key,6006,2002,SouthEast
Peacock Springs,5680,2002,NorthCentral
Fort Mose,5442,2002,NorthEast
Lignumvitae Key,4084,2002,SouthEast
John Gorrie Museum,3155,2002,NorthCentral
Tarkiln Bayou,3130,2002,NorthWest
Madira Bickel Mound,2974,2002,CentralWest
River Rise,2959,2002,NorthCentral
Troy Springs,2949,2002,NorthCentral
Beker,2415,2002,CentralEast
Constitution Convention,2156,2002,NorthWest
Hernando DeSoto,1728,2002,CentralWest
Mound Key,1633,2002,SouthWest
Dunn's Creek,1291,2002,NorthEast
Catfish Creek,1159,2002,Central
San Pedro,954,2002,SouthEast
Addison Blockhouse Museum,11,2002,CentralEast
John Pennekamp Coral Reef,1014627,2003,SouthEast
Cape Florida,860763,2003,SouthEast
Sebastian Inlet,742584,2003,CentralEast
Honeymoon Island,721893,2003,CentralWest
Lover's Key,719594,2003,SouthWest
John U. Lloyd Beach,670119,2003,SouthEast
Anastasia,607649,2003,CentralWest
St. Andrews,590511,2003,NorthWest
Delnor-Wiggins Pass,559630,2003,SouthWest
Gasparilla Island,520559,2003,SouthWest
Bahia Honda,518810,2003,SouthEast
Stump Pass Beach,375880,2003,SouthWest
Blue Spring,358837,2003,CentralEast
Fort Zachary Taylor,353700,2003,SouthEast
Homosassa Springs,272875,2003,CentralWest
Skyway State Fishing Pier,263621,2003,CentralWest
De Leon Springs,262548,2003,CentralEast
Oleta River,257531,2003,SouthEast
Myakka River,250954,2003,CentralWest
Fanning Springs,249565,2003,NorthCentral
Hugh Taylor Birch,236073,2003,SouthEast
St. George Island,229993,2003,NorthWest
Avalon,225204,2003,CentralEast
Wekiwa Springs,213524,2003,Central
Henderson Beach,210971,2003,NorthWest
Rainbow Springs,206622,2003,Central
Amelia Island,203262,2003,NorthEast
Fort Clinch,200376,2003,NorthEast
Wakulla Springs State Park,195111,2003,NorthCentral
Highlands Hammock,193046,2003,Central
Big Talbot Island,179697,2003,NorthEast
Silver Springs State Park,175549,2003,Central
Big Lagoon,173977,2003,NorthWest
St. Joseph,173406,2003,NorthWest
Jonathan Dickinson,172786,2003,SouthEast
Guana River,170961,2003,NorthEast
Fort Pierce Inlet,170947,2003,CentralEast
Perdido Key,169429,2003,NorthWest
Egmont Key,166588,2003,CentralWest
Navarre Beach State Park,165116,2003,NorthWest
Hillsborough River,164485,2003,CentralWest
Ichetucknee Springs,162385,2003,NorthCentral
Curry Hammock,158847,2003,SouthEast
Paynes Prairie,156670,2003,NorthCentral
Ravine Gardens,148141,2003,NorthEast
Caladesi Island,132910,2003,CentralWest
Manatee Springs,129661,2003,NorthCentral
Topsail Hill State Preserve,129384,2003,NorthWest
Rocky Bayou,125729,2003,NorthWest
Flagler Beach,123173,2003,NorthEast
Oscar Scherer,115549,2003,CentralWest
Alfred B. Maclay Gardens,114793,2003,NorthCentral
Fort George Island,113109,2003,NorthEast
Shell Island,103144,2003,NorthEast
Little Talbot Island,112414,2003,NorthEast
Grayton Beach,109123,2003,NorthWest
Withlacoochee State Trail,106226,2003,CentralWest
John D MacArthur Beach,101924,2003,SouthEast
Bald Point,101193,2003,NorthWest
Florida Caverns,94802,2003,NorthWest
Tomoka,94708,2003,CentralEast
Anclote Key,79017,2003,CentralWest
Long Key,77908,2003,SouthEast
Washington Oaks,71803,2003,NorthEast
Fakahatchee Strand,68300,2003,SouthWest
Stephen Foster,67916,2003,NorthCentral
Tallahassee/St. Marks Trail,67268,2003,NorthCentral
Cayo Costa,65148,2003,SouthWest
Collier-Seminole,65067,2003,SouthWest
Lake Louisa,59508,2003,Central
Koreshan,57956,2003,SouthWest
San Felasco Hammock,57404,2003,NorthCentral
